"55";"lane_hensley";"32";"0";"0";"0";"0";"0";"32";"0";"0";"0";"38.4";"fr";"es";
"56";"kirakirai";"189";"1217";"117";"0";"0";"35";"1233";"8";"1800";"0";"917.260869565217";"jp";"en";"de"
"57";"o7400";"0";"30";"0";"0";"0";"0";"0";"0";"0";"0";"6";"jp";;
"72";"druckfehler";"32";"13";"2";"0";"0";"5";"0";"0";"193";"0";"52.3222222222222";"jp";;
"59";"danchanman";"622";"2767";"0";"0";"0";"0";"0";"0";"0";"0";"1175.4";"jp";;
"63";"luna_moonsilver";"236";"0";"5";"0";"0";"0";"0";"1";"0";"0";"242";"de";"zh";
"64";"emilyrct";"19";"485";"0";"0";"0";"0";"285";"4";"276";"0";"193.235294117647";"jp";;
"65";"bakaeigo";"515";"0";"0";"0";"0";"0";"0";"0";"0";"0";"515";"zh";"es";
"66";"EliOmans";"1727";"1033";"17";"0";"0";"16";"137";"2";"163";"0";"2005.58823529412";"jp";;
"67";"MrsMalone_emmie";"575";"96";"0";"0";"0";"0";"0";"0";"0";"0";"594.2";"en";;
"70";"gsbod";"29";"38";"0";"0";"0";"0";"0";"6";"0";"0";"42.6";"jp";;
"71";"hanikamiya";"905";"2420";"0";"0";"0";"0";"0";"18";"0";"0";"1407";"jp";"fr";"en"
"73";"mikankun";"0";"47";"0";"0";"695";"4";"0";"0";"33";"0";"50.0911764705882";"jp";;
"74";"mikotoneko";"30";"146";"0";"0";"0";"0";"0";"0";"0";"0";"59.2";"jp";;
"75";"scoutsghost";"142";"65";"0";"0";"0";"0";"632";"0";"0";"0";"281.4";"jp";;
"76";"kalek573";"48";"0";"4";"0";"0";"0";"30";"3";"88";"0";"66.1764705882353";"jp";;
"78";"michimarzo";"203";"0";"0";"0";"0";"0";"0";"0";"0";"0";"203";"jp";"it";"de"
"79";"Iwwersetzerin";"412";"0";"0";"0";"0";"0";"0";"0";"0";"0";"412";"it";"nl";
"80";"terrysycamore";"13";"212";"48";"0";"0";"0";"120";"24";"363";"0";"163.5";"jp";"nl";
"81";"coffeeonimal";"0";"128";"0";"0";"0";"0";"0";"0";"30";"0";"27.3647058823529";"jp";;
"82";"takkie3";"161";"0";"0";"0";"0";"0";"0";"0";"0";"0";"161";"en";;
"83";"veeontour";"0";"0";"0";"0";"0";"0";"1567";"0";"0";"0";"313.4";"jp";;
"84";"curryisyummy";"27";"0";"0";"0";"0";"0";"0";"0";"45";"0";"29.6470588235294";"jp";;
"85";"rikabamboo";"1042";"574";"0";"0";"0";"0";"232";"0";"0";"0";"1203.2";"jp";;
"87";"malinkibear";"3";"0";"0";"0";"0";"0";"0";"2";"286";"0";"21.8235294117647";"ru";;
"88";"Zetsubou_Robert";"97";"1459";"0";"0";"0";"0";"0";"0";"0";"0";"388.8";"jp";;
"90";"ALet75";"210.5";"3560";"0";"0";"0";"0";"35";"0";"33";"0";"931.441176470588";"jp";;
"91";"Irvine1989";"455";"153";"10";"0";"0";"0";"0";"0";"0";"0";"495.6";"en";;
"92";"f_splendor";"427";"0";"0";"0";"0";"0";"0";"0";"30";"0";"428.304347826087";"en";;
"93";"nihontadoku";"25";"0";"0";"0";"0";"0";"0";"0";"0";"0";"25";"jp";;
"94";"RiverOverrun";"1099";"0";"0";"0";"0";"0";"110";"0";"0";"0";"1121";"es";"de";"zh"
"140";"Moniiku";"0";"63";"0";"0";"0";"0";"0";"0";"0";"0";"12.6";"jp";;
"96";"TheSethAffect";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11";"jp";;
"98";"megaliterarisch";"1321";"1431";"190";"10";"2490";"0";"0";"0";"65";"0";"1928.36666666667";"de";"jp";"es"
"99";"paboseki";"40";"8";"0";"0";"0";"0";"0";"0";"0";"0";"41.6";"jp";"kr";
"100";"JoelHook";"28";"0";"0";"0";"0";"0";"0";"0";"0";"0";"28";"kr";;
"101";"jyemenai";"0";"32";"0";"0";"0";"0";"0";"0";"43";"0";"8.92941176470588";"jp";;
"103";"songlines_north";"728";"68";"0";"0";"0";"0";"0";"34.75";"0";"0";"776.35";"fr";;
"104";"RichardMedh";"2510";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2510";"jp";;
"105";"jimjamjeniko";"1556";"0";"68";"0";"0";"0";"0";"0";"0";"0";"1624";"de";"jp";
"106";"x_inertia_x";"811.5";"0";"22.5";"0";"0";"2";"29";"3";"650";"0";"883.035294117647";"jp";;
"108";"Sukubasukuba";"73";"11";"11";"0";"0";"0";"345";"1";"149";"0";"164.964705882353";"jp";;
"109";"msklang";"1336";"0";"41";"0";"0";"0";"10";"0";"0";"0";"1379";"de";"fr";
"110";"maryag";"20";"142";"24";"0";"0";"0";"0";"0";"91";"0";"77.7529411764706";"jp";;
"111";"sandkatt";"419";"0";"0";"0";"0";"0";"0";"0";"0";"0";"419";"jp";;
"112";"Tokorooo";"1344";"59";"46";"0";"0";"11";"23";"0";"0";"0";"1417.4";"jp";"en";"fr"
"115";"Amasugiya";"272";"347";"0";"0";"0";"0";"99";"1";"302";"0";"375.330434782609";"jp";"en";
"116";"missingno15";"159.84";"0";"67";"0";"1371";"9";"775";"0";"1295";"0";"535.566470588235";"jp";;
"117";"1ceCreammm";"1701";"10";"0";"0";"0";"0";"977";"107";"0";"0";"2005.4";"jp";;
