"49";"jankensan";"26";"16";"0";"0";"0";"0";"0";"0";"0";"0";"29.2";"jp";;;"200"
"51";"JapanNewbie";"64";"147";"0";"0";"0";"0";"0";"9";"0";"0";"102.4";"jp";;;"0"
"52";"Little_strokes";"0";"9";"2";"0";"0";"0";"0";"0";"15";"0";"4.4";"zh";;;"500"
"53";"kanjidaily";"0";"547";"0";"0";"481";"0";"0";"0";"383";"0";"155.816013071895";"jp";"ko";;"0"
"54";"Amasugiya";"352";"0";"0";"0";"0";"0";"370";"0";"0";"0";"426";"jp";"en";;"400"
"55";"astendra";"80";"0";"0";"0";"0";"0";"0";"0";"0";"0";"80";"jp";;;"2000"
"56";"arthaey";"8";"0";"15";"0";"0";"1";"0";"10";"345";"0";"56.3846153846154";"es";"de";;"0"
"57";"ErikHaliewicz";"15";"3895";"39";"0";"200";"0";"232";"0";"2990";"14";"1066.68235294118";"jp";;;"0"
"58";"SimHuman";"321.5";"553";"0";"0";"0";"0";"0";"0";"491";"9";"461.882352941176";"jp";;;"500"
"59";"EliOmans";"0";"115";"0";"0";"0";"5";"0";"0";"55";"0";"31.2352941176471";"jp";;;"0"
"60";"Yakkoe";"346";"0";"0";"0";"0";"0";"0";"1";"1899";"0";"458.705882352941";"jp";;;"200"
"61";"AkiKaza3829";"21.5";"606";"40";"0";"0";"5";"360";"0";"500";"24";"291.511764705882";"jp";;;"0"
"62";"JPP4";"4193";"0";"70";"0";"0";"0";"0";"0";"8642";"0";"4771.35294117647";"jp";"ru";"es";"4000"
"64";"vttlj";"41";"664";"0";"0";"14319";"0";"0";"0";"0";"0";"889.75";"jp";"fr";"es";"10010"
"65";"Moniiku";"0";"0";"0";"0";"127";"0";"0";"0";"0";"0";"6.35";"jp";;;"0"
"66";"Bluemchenblatt";"221";"0";"0";"0";"0";"0";"0";"27";"2355";"0";"386.529411764706";"jp";;;"0"
"67";"glitteringloke";"0";"265";"0";"0";"5458";"0";"0";"0";"345";"0";"346.194117647059";"jp";;;"200"
"68";"jimjamjeniko";"1542";"2407";"106.5";"0";"0";"0";"0";"0";"1622";"0";"2225.31176470588";"jp";;;"2500"
"69";"lirien";"0";"208";"0";"0";"0";"0";"0";"0";"0";"0";"41.6";"jp";;;"0"
"70";"emilyrct";"25";"384";"0";"0";"0";"0";"0";"0";"362";"0";"123.094117647059";"jp";;;"0"
"71";"tonesvenn";"177";"7";"0";"0";"0";"0";"0";"0";"296";"0";"195.811764705882";"jp";;;"500"
"74";"loolnashi";"498";"22373";"0";"0";"0";"1";"869";"0";"0";"0";"5147.4";"jp";;;"4561"
"75";"aiorral";"152.44";"0";"0";"0";"0";"0";"0";"0";"0";"0";"152.44";"jp";;;"0"
"76";"Nekesu";"0";"234";"15";"0";"0";"0";"0";"0";"503";"0";"91.3882352941176";"jp";;;"0"
"77";"megaliterarisch";"35";"0";"39";"0";"0";"0";"0";"0";"0";"0";"74";"de";"es";"jp";"0"
"78";"serpent849";"647";"149";"44";"0";"0";"172";"0";"15";"118";"0";"914.302024291498";"fi";"es";"de";"914"
"79";"Cush1979";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"1.2";"jp";;;"0"
"80";"kkgtokyo";"125";"1629";"24";"0";"0";"0";"0";"0";"130";"0";"482.447058823529";"jp";;;"800"
"81";"SheepyAU";"0";"190";"0";"0";"0";"0";"0";"0";"0";"0";"38";"jp";;;"0"
"82";"LawlCarl";"155.5";"0";"0";"0";"0";"5";"73";"0";"40";"0";"177.452941";"fr";"es";"sv";"900"
"83";"RichardMedh";"2400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2400";"jp";;;"0"
"84";"rarufuburaun";"15";"0";"0";"0";"0";"0";"0";"6";"0";"0";"21";"jp";;;"0"
"85";"ojk1ojk";"182";"0";"0";"0";"0";"0";"56";"0";"257";"0";"208.317647058824";"jp";;;"0"
"86";"X140hu4";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"jp";;;"500"
"87";"mikotoneko";"162";"46";"23";"15";"27";"0";"150";"0";"13";"0";"228.814705882353";"jp";;;"75"
"88";"NoraBahasa";"81";"0";"84";"0";"0";"0";"0";"0";"0";"0";"165";"fr";;;"200"
"89";"michimarzo";"327";"0";"0";"0";"0";"0";"0";"0";"0";"0";"327";"jp";"de";"en";"0"
"91";"Edotantei";"0";"2386";"0";"0";"0";"0";"0";"0";"0";"0";"477.2";"jp";;;"500"
"92";"Junesun";"217";"0";"0";"0";"0";"0";"120";"0";"0";"0";"241";"zh";"fr";;"0"
"93";"Mani2265";"224";"0";"135";"0";"0";"0";"0";"0";"0";"0";"359";"fr";"en";;"0"
"94";"missingno15";"160";"32";"25";"0";"0";"0";"23";"0";"0";"0";"196";"jp";;;"0"
"95";"jamesnowonline";"0";"0";"0";"0";"0";"0";"0";"1";"640";"0";"38.6470588235294";"jp";"zh";;"0"
"96";"kassvea";"417";"0";"0";"0";"0";"0";"0";"0";"0";"0";"417";"fr";;;"0"
"97";"songlines_north";"267";"0";"0";"0";"0";"0";"0";"27.5";"0";"0";"294.5";"fr";;;"0"
"98";"ember_seed";"524";"0";"0";"0";"0";"0";"180";"0";"85";"0";"560";"jp";;;"1000"
"99";"ihan1127";"353";"0";"0";"0";"0";"0";"0";"0";"0";"0";"353";"jp";;;"1200"
"101";"CultureQuirk";"0";"201";"0";"0";"0";"3";"0";"0";"0";"0";"43.2";"jp";;;"0"
"102";"greenisgo";"232";"0";"0";"0";"0";"0";"0";"0";"0";"0";"232";"jp";;;"0"
"104";"melitu";"175";"0";"0";"0";"0";"0";"0";"0";"17";"0";"176";"jp";;;"300"
"105";"zlep2012";"0";"0";"0";"0";"245";"0";"0";"0";"0";"0";"12.25";"jp";;;"0"
"106";"pbadger";"20";"35";"0";"0";"0";"0";"0";"0";"0";"0";"27";"jp";;;"0"
"107";"coffeeonimal";"0";"849";"0";"0";"0";"0";"0";"0";"0";"0";"169.8";"jp";;;"0"
