"55";"shyxormz";"224";"218";"0";"0";"0";"0";"0";"15";"0";"0";"282.6"
"56";"Brokenvai";"3.3";"171";"4.5";"0";"0";"13";"494";"0";"50";"0";"156.741176471"
"57";"Mirohan";"0";"650";"0";"0";"0";"0";"0";"0";"87";"0";"135.117647058823"
"58";"mattosumisu";"20";"54";"27";"0";"0";"0";"61";"0";"0";"0";"70"
"59";"mattiasjp";"0";"18";"0";"0";"0";"0";"0";"0";"15";"0";"4.48235294118"
"60";"Infernatotely";"0";"0";"223";"0";"0";"0";"0";"0";"0";"0";"223"
"61";"firearnok";"37";"12";"0";"0";"125";"7";"0";"0";"380";"0";"80.1165775400824"
"62";"c_nak";"4";"8";"29";"0";"20";"0";"0";"2";"10";"0";"39.0064171123"
"63";"Bbvoncrumb";"21";"11";"0";"0";"0";"0";"649";"0";"0";"0";"153"
"64";"jyemenai";"22";"839.5";"5";"3964";"53";"4";"162";"0";"599";"0";"932.02014260293"
"65";"eigokitsune";"0";"10";"7";"0";"211";"0";"0";"0";"0";"0";"28.1818181818"
"66";"chovenge";"427";"1121";"8";"0";"0";"0";"897";"0";"0";"0";"838.6"
"67";"mysterycheez";"51";"0";"0";"0";"0";"0";"0";"0";"0";"0";"51"
"68";"jBalaam";"234";"52";"13";"0";"102";"0";"0";"0";"0";"0";"266.672727273"
"69";"jamesnowonline";"109";"220";"13";"0";"86";"0";"0";"0";"6";"0";"174.171122995"
"70";"SheepyAU";"17";"509";"0";"0";"0";"0";"300";"6";"24";"0";"186.211764705918"
"71";"MrsMalone_emmie";"4648";"317";"0";"0";"0";"0";"0";"0";"0";"0";"4711.4"
"72";"giada51291";"119";"0";"47";"0";"0";"53";"722";"52";"0";"0";"415.4"
"73";"CSmiles55";"0";"1421";"46";"0";"218";"0";"0";"0";"0";"0";"350.018181818"
"74";"hyrulehippie";"651";"214";"726";"0";"47205";"0";"1143";"9";"2946";"0";"5207.94411764818"
"75";"maryag";"140";"331";"73";"0";"0";"0";"149";"2";"167";"0";"320.823529411765"
"76";"Maya1924";"193";"534";"48";"0";"0";"0";"0";"4";"180";"0";"362.388235294"
"77";"Cush1979";"24";"6";"0";"0";"0";"0";"0";"0";"18";"0";"26.2588235294082"
"78";"kaoskastle";"0";"22";"2";"0";"99";"0";"0";"0";"7";"24";"18.2117647059"
"79";"SimHuman";"1057";"2006";"3";"0";"0";"1";"0";"0";"2053";"460";"2250.95882352929"
"80";"kkgtokyo";"607";"140";"66";"0";"0";"11";"2201";"2";"583";"0";"1449.12941176518"
"81";"izanameii";"0";"858";"0";"0";"13";"0";"0";"0";"0";"0";"172.781818182"
"82";"kalek573";"84";"45";"15";"0";"966";"7";"136";"19";"127";"0";"262.488770053476"
"83";"sloppier_r";"10096";"6280";"147";"0";"0";"32";"0";"7";"141";"0";"11548.8125"
"84";"revenantkioku";"1612";"13159";"765";"2717";"41602";"55";"1768";"7";"21868";"164";"10423.5817290539"
"85";"Wicket_French";"0";"0";"0";"0";"0";"0";"0";"0";"94";"0";"5.52941176471"
"86";"ayaneko31";"0";"1164";"0";"0";"0";"0";"105";"0";"35";"0";"255.858823529412"
"87";"youngenstein";"206";"421";"0";"0";"0";"0";"0";"0";"650";"0";"436.435294118"
"88";"BuSensei";"90";"0";"0";"0";"656";"0";"0";"8";"214";"0";"170.22459893"
"89";"veeontour";"0";"0";"0";"0";"0";"1";"5207";"0";"0";"0";"1355.8"
"90";"NeoSamurai05";"13";"19";"7";"0";"503";"0";"0";"0";"0";"0";"69.5272727273"
"91";"chmijo";"82";"4495";"0";"0";"0";"142";"0";"17";"389";"0";"1162.88235294118"
"92";"Bluemchenblatt";"261";"237";"29.14";"0";"0";"0";"8";"38.65";"273";"0";"393.848823529"
"93";"hanikamiya";"1889";"22855";"6";"0";"0";"22";"495";"48";"999";"3";"6674.10035650624"
"94";"paboseki";"66";"169";"3";"0";"0";"0";"72";"3.5";"0";"0";"122.3"
"95";"emhornerbooks";"289.5";"0";"0";"0";"0";"0";"0";"4";"26";"0";"295.029411765"
"96";"HedgeCRM";"0";"123";"0";"0";"0";"0";"0";"0";"0";"0";"24.6"
"97";"KiraKirai";"189";"1217";"117";"0";"0";"35";"0";"8";"1800";"0";"917.260869565217"
"98";"HolySt4r";"0";"3763";"87";"0";"1182";"1";"108";"0";"0";"0";"1301.40454545454"
"99";"gsbod";"234";"38";"0";"0";"0";"0";"0";"16";"40";"0";"259.952941176471"
"100";"Yakkoe";"273";"521";"0";"93";"43";"0";"735";"0";"285";"74";"567.773796791444"
"101";"japaneseme";"1346.12";"359.4";"166";"0";"0";"0";"160";"47";"0";"0";"1663"
"102";"meghanventura";"0";"0";"0";"0";"0";"0";"390";"0";"0";"0";"78"
"103";"distefam";"0";"303";"0";"0";"0";"0";"0";"0";"0";"0";"60.6"
"104";"k2yama";"16";"332";"17";"0";"0";"15";"1990.5168";"0";"269";"0";"528.326889411765"
"105";"i_Bassam";"49";"0";"64";"0";"0";"0";"0";"4";"30";"0";"118.304347826087"
"106";"TakehikoKoizumi";"83";"148";"1";"0";"23";"0";"3";"0";"3081";"0";"297.526203208557"
"107";"TokyoBoysClub";"739";"155";"4";"1";"0";"3";"87";"4";"2116";"23";"925.337254901961"
"108";"jsj2003";"35";"2536.3";"0";"0";"0";"2";"0";"0";"0";"0";"544.26"
"109";"Jaylant";"0";"30";"0";"0";"0";"0";"0";"0";"10";"0";"6.58823529411765"
"110";"Squintox";"0";"60";"0";"0";"0";"111";"0";"4";"0";"0";"127"
"111";"KudouUsagi";"20";"2107";"0";"0";"0";"10";"0";"0";"0";"0";"451.4"
"112";"RinoaHeartilly_";"4";"0";"0";"0";"0";"0";"125";"0";"0";"0";"29"
"113";"mochidzuki";"686.44";"2748.5";"14";"0";"3612";"10";"45";"4";"1426";"0";"1702.58598930481"
"114";"loolnashi";"136";"18502";"0";"150";"28865";"150";"1407";"0";"4961";"0";"6651.80534759358"
"115";"_nicksan";"2";"5";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"116";"o7400";"0";"1536";"0";"0";"0";"0";"70";"0";"250";"0";"335.905882352941"
"117";"syreinrage";"22";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22"
"118";"peterjcarroll";"138";"0";"17";"0";"167";"0";"120";"0";"380";"0";"214.181818181818"
"119";"Nerienea";"0";"0";"13";"0";"0";"0";"0";"3";"0";"0";"16"
"120";"bakunin3";"2064";"0";"0";"0";"0";"0";"0";"56";"0";"0";"2120"
"121";"doviende";"731";"0";"0";"0";"0";"0";"0";"0";"0";"0";"731"
"122";"Reveriekun";"5";"2292";"2";"0";"0";"3";"340";"0";"99";"0";"542.223529411765"
"123";"RichardMedh";"6010";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6010"
"124";"Junesun";"2208.10000000001";"139.8";"0";"0";"0";"0";"347";"14";"1141";"0";"2384.56980392157"
"125";"rachaeldarwin";"607";"0";"33";"0";"0";"0";"0";"0";"152";"0";"645.066666666667"
"126";"thelanguagegeek";"253";"0";"0";"0";"0";"0";"0";"0";"53";"0";"257.076923076923"
"127";"ongakunoiro";"15";"611";"7";"0";"0";"0";"0";"0";"0";"0";"144.2"
"128";"Zetsubou_Robert";"1732.88";"2609";"0";"0";"10192";"0";"0";"0";"1854";"0";"3290.28427807486"
"129";"ember_seed";"181.4";"0";"0";"0";"0";"0";"90";"0";"187";"0";"210.4"
"130";"legupli";"1467";"0";"0";"0";"0";"0";"100";"84";"0";"0";"1571"
"131";"starsandsea";"56";"652";"0";"0";"0";"0";"102";"2";"0";"0";"208.8"
"132";"TheKwago";"0";"0";"0";"0";"0";"0";"0";"22.2";"0";"0";"22.2"
"133";"sizzlewriter";"28";"0";"0";"0";"0";"0";"0";"0";"0";"0";"28"
"134";"samhy";"564.6";"88";"3";"0";"0";"13";"250";"0";"131";"0";"655.905882352942"
"135";"mirab3lla";"1342";"0";"64";"0";"0";"0";"465";"15";"0";"0";"1514"
"136";"risasun39";"45";"85";"0";"0";"0";"0";"0";"7";"47";"0";"74.0743034055728"
"137";"drahcir14";"148";"0";"0";"0";"0";"0";"0";"0";"18";"0";"149.05882352941"
"138";"penny_ffm";"99";"0";"0";"0";"0";"0";"0";"0";"0";"0";"99"
"139";"msklang";"1596.04999999999";"0";"210";"0";"0";"0";"0";"0";"0";"0";"2709.04999999999"
"140";"Calamarain4";"0";"3128";"0";"0";"0";"0";"0";"0";"67";"0";"629.541176470588"
"141";"danielpwright";"17";"0";"0";"0";"0";"0";"0";"0";"0";"0";"17"
"142";"aerielle";"8";"250";"0";"0";"0";"0";"188";"16";"1030";"0";"185.920261437905"
"143";"kenrickchien_jp";"24";"0";"0";"0";"0";"0";"0";"0";"0";"0";"24"
"144";"wordmoth";"93";"578";"0";"0";"0";"0";"95";"1";"40";"0";"230.952941176471"
"145";"melitu";"1075";"4106";"47";"0";"0";"0";"183";"0";"1551";"0";"2080.03529411765"
"146";"arthaey";"0";"0";"0";"0";"0";"3";"5";"0";"42";"0";"6.4705882352941"
"147";"togijoji";"3";"1038";"13";"0";"31";"1";"0";"0";"418";"0";"252.006417112299"
"148";"coffeeonimal";"0";"4187";"0";"0";"0";"152";"365";"0";"225";"0";"1075.63529411764"
"149";"teango";"114";"0";"0";"0";"0";"0";"0";"0";"0";"0";"114"
"150";"taispy";"21";"0";"0";"0";"0";"0";"0";"0";"0";"0";"21"
"151";"bri_tyan";"136";"79";"51";"0";"0";"0";"60";"0";"0";"0";"214.8"
"152";"Cheftom123";"39.5";"181";"0";"0";"376";"0";"629";"14";"4";"0";"321.204545454545"
"153";"ihan1127";"3939";"0";"4";"0";"0";"0";"0";"44";"0";"0";"3987"
"154";"lianaleslie";"3218";"0";"0";"0";"5186";"0";"0";"0";"0";"0";"3689.45454545455"
"155";"glitteringloke";"3";"542";"0";"0";"0";"0";"0";"0";"0";"0";"111.4"
"156";"TMJake";"0";"981";"3";"0";"107531";"0";"0";"0";"2651";"0";"7650.20481283422"
"157";"entreview";"5";"0";"15";"0";"0";"8";"0";"0";"79";"0";"32.6470588235294"
"158";"Pharamp";"196";"0";"0";"0";"0";"0";"0";"0";"363";"0";"223.923076923077"
"159";"luna_moonsilver";"316";"91";"5";"0";"0";"8";"0";"1";"0";"0";"348.2"
"160";"nowasforjason";"31";"0";"0";"0";"0";"0";"0";"0";"0";"0";"31"
