"74";"k2yama";"0";"0";"0";"0";"0";"0";"46";"0";"0";"0";"1301813701";
"73";"JapanNewbie";"13";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1301813102";
"72";"jyemenai";"0";"0";"0";"90";"0";"0";"0";"0";"0";"0";"1301813102";
"71";"qqkachoojp";"0";"166";"0";"0";"0";"0";"0";"0";"0";"0";"1301812801";
"70";"maryag";"20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1301812501";
"69";"peterjcarroll";"0";"0";"0";"0";"0";"0";"0";"0";"14";"0";"1301812205";
"68";"TakehikoKoizumi";"0";"0";"0";"0";"0";"0";"0";"0";"20";"0";"1301812203";
"67";"TakehikoKoizumi";"0";"11";"0";"0";"0";"0";"0";"0";"0";"0";"1301812202";
"66";"peterjcarroll";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"1301812202";
"65";"peterjcarroll";"0";"0";"0";"0";"0";"0";"0";"0";"11";"0";"1301811902";
"64";"melitu";"0";"188";"0";"0";"0";"0";"0";"0";"0";"0";"1301811301";
"63";"BlackDragonHunt";"0";"0";"0";"0";"0";"0";"7.41666666666667";"0";"0";"0";"1301810404";
"62";"lordsilent";"0";"0";"10";"0";"0";"0";"0";"0";"0";"0";"1301810402";
"208";"HolySt4r";"0";"720";"0";"0";"0";"0";"0";"0";"0";"0";"1301865601";
"60";"loafyi";"0";"0";"7";"0";"0";"0";"0";"0";"0";"0";"1301809802";
"59";"loafyi";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"1301809801";
"58";"incorporeality";"0";"19";"0";"0";"0";"0";"0";"0";"0";"0";"1301809201";
"57";"giada51291";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1301808902";
"56";"starsandsea";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1301808602";
"55";"mochidzuki";"0";"0";"0";"0";"0";"0";"0";"0";"24";"0";"1301807101";
"54";"qqkachoojp";"21";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1301806801";
"53";"BlackDragonHunt";"0";"0";"0";"0";"0";"0";"48.8333333333333";"0";"0";"0";"1301805601";
"52";"BlackDragonHunt";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1301805601";
"51";"Jaylant";"0";"10";"0";"0";"0";"0";"0";"0";"0";"0";"1301805301";
"50";"giada51291";"0";"0";"11";"0";"0";"0";"0";"0";"0";"0";"1301804701";
"49";"wordmoth";"0";"88";"0";"0";"0";"0";"0";"0";"0";"0";"1301804105";
"48";"lordsilent";"0";"0";"0";"0";"0";"0";"24";"0";"0";"0";"1301804104";
"47";"wordmoth";"0";"0";"0";"0";"0";"0";"0";"0";"20";"0";"1301804102";
"46";"momonigiri";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1301803201";
"45";"firearnok";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"1301801103";
